chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
privacy_why_text	I documenti caricati o consegnati in segreteria didattica servono esclusivamente per completare la procedura di iscrizione al primo anno della scuola superiore, verificare i dati dichiarati e predisporre le attività scolastiche successive.	Testo sezione privacy.	The documents uploaded or submitted to the academic office are used exclusively to complete the enrollment process for the first year of high school, verify the data provided, and prepare subsequent school activities.	Les documents téléchargés ou soumis au bureau des affaires académiques sont utilisés exclusivement pour finaliser le processus d'inscription en première année de lycée, vérifier les données fournies et préparer les activités scolaires ultérieures.	Die beim Schulamt hochgeladenen oder eingereichten Dokumente dienen ausschließlich dazu, den Einschreibungsprozess für das erste Jahr der High School abzuschließen, die angegebenen Daten zu überprüfen und die weiteren Schulaktivitäten vorzubereiten.	Los documentos que se suben o se envían a la secretaría académica se utilizan exclusivamente para completar el proceso de matriculación para el primer año de bachillerato, verificar los datos proporcionados y preparar las actividades escolares posteriores.	Os documentos enviados ou entregues à secretaria acadêmica são utilizados exclusivamente para concluir o processo de matrícula do primeiro ano do ensino médio, verificar os dados fornecidos e preparar as atividades escolares subsequentes.	Документы, загруженные или предоставленные в учебный отдел, используются исключительно для завершения процесса зачисления на первый курс средней школы, проверки предоставленных данных и подготовки к последующим школьным мероприятиям.	Dokumentet e ngarkuara ose të dorëzuara në zyrën akademike përdoren ekskluzivisht për të përfunduar procesin e regjistrimit për vitin e parë të shkollës së mesme, për të verifikuar të dhënat e dhëna dhe për të përgatitur aktivitetet e mëvonshme shkollore.	Documentele încărcate sau depuse la secretariatul academic sunt folosite exclusiv pentru finalizarea procesului de înscriere pentru primul an de liceu, verificarea datelor furnizate și pregătirea activităților școlare ulterioare.	शैक्षणिक कार्यालय में अपलोड या जमा किए गए दस्तावेजों का उपयोग विशेष रूप से हाई स्कूल के पहले वर्ष के लिए नामांकन प्रक्रिया को पूरा करने, प्रदान किए गए डेटा को सत्यापित करने और बाद की स्कूल गतिविधियों की तैयारी के लिए किया जाता है।	ਅਕਾਦਮਿਕ ਦਫ਼ਤਰ ਵਿੱਚ ਅੱਪਲੋਡ ਕੀਤੇ ਜਾਂ ਜਮ੍ਹਾਂ ਕੀਤੇ ਗਏ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਵਰਤੋਂ ਵਿਸ਼ੇਸ਼ ਤੌਰ 'ਤੇ ਹਾਈ ਸਕੂਲ ਦੇ ਪਹਿਲੇ ਸਾਲ ਲਈ ਦਾਖਲਾ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਪੂਰਾ ਕਰਨ, ਪ੍ਰਦਾਨ ਕੀਤੇ ਗਏ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਅਤੇ ਬਾਅਦ ਦੀਆਂ ਸਕੂਲ ਗਤੀਵਿਧੀਆਂ ਨੂੰ ਤਿਆਰ ਕਰਨ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।	একাডেমিক অফিসে আপলোড বা জমা দেওয়া নথিগুলো শুধুমাত্র উচ্চ বিদ্যালয়ের প্রথম বর্ষে ভর্তি প্রক্রিয়া সম্পন্ন করতে, প্রদত্ত তথ্য যাচাই করতে এবং পরবর্তী স্কুল কার্যক্রমের প্রস্তুতি নিতে ব্যবহৃত হয়।	Документи отпремљени или достављени академској канцеларији користе се искључиво за завршетак процеса уписа у прву годину средње школе, проверу достављених података и припрему наредних школских активности.	Dokumenti preneseni ili dostavljeni u akademski ured koriste se isključivo za dovršetak postupka upisa u prvu godinu srednje škole, provjeru dostavljenih podataka i pripremu sljedećih školskih aktivnosti.	Akademik ofise yüklenen veya teslim edilen belgeler, yalnızca lise birinci sınıf kayıt işlemini tamamlamak, verilen verileri doğrulamak ve sonraki okul etkinliklerini hazırlamak için kullanılır.	مدارکی که بارگذاری یا به دفتر آموزشی ارائه می‌شوند، منحصراً برای تکمیل فرآیند ثبت نام برای سال اول دبیرستان، تأیید اطلاعات ارائه شده و آماده‌سازی فعالیت‌های بعدی مدرسه استفاده می‌شوند.	هغه اسناد چې اکاډمیک دفتر ته اپلوډ شوي یا سپارل شوي دي په ځانګړي ډول د لیسې د لومړي کال لپاره د نوم لیکنې پروسې بشپړولو، چمتو شوي معلوماتو تصدیق کولو، او د ښوونځي وروسته فعالیتونو چمتو کولو لپاره کارول کیږي.	Ang mga dokumentong in-upload o isinumite sa opisina ng akademiko ay ginagamit lamang upang makumpleto ang proseso ng pagpapatala para sa unang taon ng hayskul, beripikahin ang ibinigay na datos, at ihanda ang mga susunod na aktibidad sa paaralan.	Dokumenty przesłane lub złożone w dziekanacie służą wyłącznie do przeprowadzenia procesu rekrutacji na pierwszy rok szkoły średniej, weryfikacji dostarczonych danych oraz przygotowania kolejnych zajęć szkolnych.	Документи, завантажені або подані до академічного відділу, використовуються виключно для завершення процесу зарахування на перший курс середньої школи, перевірки наданих даних та підготовки подальших шкільних заходів.	上传或提交给教务处的文件仅用于完成高中第一年的入学手续、核实所提供的数据以及准备后续的学校活动。	تُستخدم المستندات التي يتم تحميلها أو تقديمها إلى المكتب الأكاديمي حصريًا لإكمال عملية التسجيل للسنة الأولى من المدرسة الثانوية، والتحقق من البيانات المقدمة، وإعداد الأنشطة المدرسية اللاحقة.	اکیڈمک آفس میں اپ لوڈ یا جمع کرائے گئے دستاویزات کو ہائی اسکول کے پہلے سال کے اندراج کے عمل کو مکمل کرنے، فراہم کردہ ڈیٹا کی تصدیق، اور بعد میں اسکول کی سرگرمیاں تیار کرنے کے لیے خصوصی طور پر استعمال کیا جاتا ہے۔
privacy_docs_title	Quali documenti possono essere richiesti	Titolo sezione privacy.	What documents can be requested	Quels documents peuvent être demandés ?	Welche Dokumente können angefordert werden?	¿Qué documentos se pueden solicitar?	Que documentos podem ser solicitados?	Какие документы можно запросить?	Cilat dokumente mund të kërkohen	Ce documente pot fi solicitate	किन दस्तावेजों का अनुरोध किया जा सकता है?	ਕਿਹੜੇ ਦਸਤਾਵੇਜ਼ ਮੰਗੇ ਜਾ ਸਕਦੇ ਹਨ	কী কী নথিপত্র অনুরোধ করা যেতে পারে	Која документа се могу тражити	Koji se dokumenti mogu tražiti	Hangi belgeler talep edilebilir?	چه مدارکی را می‌توان درخواست کرد	کوم اسناد غوښتل کیدی شي	Anong mga dokumento ang maaaring hilingin	Jakie dokumenty można zażądać	Які документи можна запросити	可以申请哪些文件	ما هي المستندات التي يمكن طلبها؟	کن دستاویزات کی درخواست کی جا سکتی ہے۔
privacy_doc_1	Pagella o documento di valutazione.	Elenco documenti privacy.	Report card or evaluation document.	Bulletin scolaire ou document d'évaluation.	Zeugnis oder Bewertungsdokument.	Boletín de calificaciones o documento de evaluación.	Boletim escolar ou documento de avaliação.	Табель успеваемости или оценочный документ.	Raport ose dokument vlerësimi.	Fișă de note sau document de evaluare.	रिपोर्ट कार्ड या मूल्यांकन दस्तावेज।	ਰਿਪੋਰਟ ਕਾਰਡ ਜਾਂ ਮੁਲਾਂਕਣ ਦਸਤਾਵੇਜ਼।	রিপোর্ট কার্ড বা মূল্যায়ন নথি।	Извештај или документ о евалуацији.	Izvješće ili dokument o ocjenjivanju.	Karne veya değerlendirme belgesi.	کارت گزارش یا سند ارزیابی.	د راپور کارت یا ارزونې سند.	Report card o dokumento ng ebalwasyon.	Świadectwo lub dokument oceny.	Табель успішності або документ з оцінювання.	成绩单或评估文件。	تقرير دراسي أو وثيقة تقييم.	رپورٹ کارڈ یا تشخیصی دستاویز۔
privacy_doc_2	Diploma o licenza conclusiva del primo ciclo.	Elenco documenti privacy.	Diploma or qualification completing the first cycle.	Diplôme ou qualification complétant le premier cycle.	Diplom oder Qualifikation nach Abschluss des ersten Zyklus.	Diploma o titulación que acredite la finalización del primer ciclo.	Diploma ou qualificação que complete o primeiro ciclo.	Диплом или квалификация, подтверждающая завершение первого цикла обучения.	Diplomë ose kualifikim që përfundon ciklin e parë.	Diplomă sau calificare care absolvă primul ciclu.	डिप्लोमा या योग्यता का पहला चक्र पूरा करना।	ਪਹਿਲਾ ਚੱਕਰ ਪੂਰਾ ਕਰਨ ਵਾਲਾ ਡਿਪਲੋਮਾ ਜਾਂ ਯੋਗਤਾ।	ডিপ্লোমা বা যোগ্যতা যা প্রথম চক্র সম্পন্ন করেছে।	Диплома или квалификација којом се завршава први циклус.	Diploma ili kvalifikacija kojom se završava prvi ciklus.	Diploma veya yeterlilik belgesinin ilk aşamasını tamamlamak.	دیپلم یا مدرک تحصیلی که دوره اول را تکمیل می‌کند.	د لومړي دورې بشپړولو لپاره ډیپلوم یا وړتیا.	Diploma o kwalipikasyon na nakakumpleto sa unang siklo.	Dyplom lub kwalifikacje kończące pierwszy cykl.	Диплом або кваліфікація, що завершує перший цикл.	完成第一阶段学习并获得文凭或资格证书。	شهادة أو مؤهل يُكمل الدورة الأولى.	ڈپلومہ یا قابلیت پہلا چکر مکمل کرنا۔
privacy_doc_3	Certificazione delle competenze.	Elenco documenti privacy.	Certification of skills.	Certification des compétences.	Zertifizierung von Fähigkeiten.	Certificación de habilidades.	Certificação de competências.	Сертификация навыков.	Certifikimi i aftësive.	Certificarea competențelor.	कौशल का प्रमाणन।	ਹੁਨਰਾਂ ਦਾ ਪ੍ਰਮਾਣੀਕਰਨ।	দক্ষতার সনদপত্র।	Сертификација вештина.	Certifikacija vještina.	Becerilerin belgelendirilmesi.	صدور گواهینامه مهارت.	د مهارتونو تصدیق.	Sertipikasyon ng mga kasanayan.	Certyfikacja umiejętności.	Сертифікація навичок.	技能认证。	شهادة المهارات.	مہارت کی تصدیق۔
privacy_doc_4	Documentazione INVALSI.	Elenco documenti privacy.	INVALSI documentation.	Documentation INVALSI.	INVALSI-Dokumentation.	Documentación de INVALSI.	Documentação INVALSI.	Документация INVALSI.	Dokumentacioni INVALSI.	Documentația INVALSI.	INVALSI दस्तावेज़ीकरण।	INVALSI ਦਸਤਾਵੇਜ਼।	INVALSI ডকুমেন্টেশন।	ИНВАЛСИ документација.	INVALSI dokumentacija.	INVALSI dokümantasyonu.	مستندات INVALSI.	د INVALSI اسناد.	Dokumentasyon ng INVALSI.	Dokumentacja INVALSI.	Документація INVALSI.	INVALSI 文档。	وثائق INVALSI.	INVALSI دستاویزات۔
privacy_doc_5	Documenti di identità dello studente e dei responsabili.	Elenco documenti privacy.	Identity documents of the student and those responsible.	Documents d'identité de l'étudiant et des personnes responsables.	Ausweisdokumente des Schülers und der Verantwortlichen.	Documentos de identidad del estudiante y de los responsables.	Documentos de identidade do aluno e dos responsáveis.	Документы, удостоверяющие личность студента и ответственных лиц.	Dokumentet e identitetit të studentit dhe të personave përgjegjës.	Actele de identitate ale elevului și ale persoanelor responsabile.	छात्र और उसके प्रति जिम्मेदार व्यक्तियों के पहचान पत्र।	ਵਿਦਿਆਰਥੀ ਅਤੇ ਜ਼ਿੰਮੇਵਾਰ ਵਿਅਕਤੀਆਂ ਦੇ ਪਛਾਣ ਦਸਤਾਵੇਜ਼।	শিক্ষার্থী এবং দায়িত্বপ্রাপ্ত ব্যক্তিদের পরিচয়পত্র।	Лична документа студента и одговорних лица.	Identifikacijske isprave studenta i odgovornih osoba.	Öğrencinin ve sorumlu kişilerin kimlik belgeleri.	مدارک شناسایی دانش آموز و افراد مسئول.	د زده کونکي او مسؤلینو د هویت اسناد.	Mga dokumento ng pagkakakilanlan ng estudyante at ng mga responsable.	Dokumenty tożsamości ucznia i osób odpowiedzialnych.	Документи, що посвідчують особу студента та відповідальних осіб.	学生及监护人的身份证明文件。	وثائق هوية الطالب والمسؤولين عنه.	طالب علم اور ذمہ داروں کی شناختی دستاویزات۔
privacy_doc_6	Codici fiscali dello studente e dei responsabili.	Elenco documenti privacy.	Tax codes of the student and those responsible.	Codes fiscaux de l'étudiant et des personnes responsables.	Steuerkennzeichen des Studenten und der Verantwortlichen.	Códigos fiscales del estudiante y de los responsables.	Códigos fiscais do estudante e dos responsáveis.	Налоговые кодексы студента и ответственных лиц.	Kodet tatimore të studentit dhe të atyre që janë përgjegjës.	Codurile fiscale ale studentului și ale celor responsabili.	छात्र और उसके लिए जिम्मेदार व्यक्तियों के कर संबंधी नियम।	ਵਿਦਿਆਰਥੀ ਅਤੇ ਜ਼ਿੰਮੇਵਾਰ ਵਿਅਕਤੀਆਂ ਦੇ ਟੈਕਸ ਕੋਡ।	শিক্ষার্থী এবং দায়িত্বপ্রাপ্ত ব্যক্তিদের কর বিধি।	Порески кодови студента и одговорних лица.	Porezni kodovi studenta i odgovornih osoba.	Öğrencinin ve sorumlu kişilerin vergi kodları.	قوانین مالیاتی دانشجو و افراد مسئول.	د زده کونکي او مسؤلینو د مالیې کوډونه.	Mga kodigo sa buwis ng estudyante at ng mga responsable.	Kody podatkowe studenta i osób odpowiedzialnych.	Податкові коди студента та відповідальних осіб.	学生及其监护人的税号。	الرموز الضريبية للطالب والمسؤولين عنه.	طالب علم اور ذمہ داروں کے ٹیکس کوڈز۔
privacy_doc_7	Eventuale attestazione dell'erogazione liberale PagoPA, se richiesta o disponibile.	Elenco documenti privacy.	Any PagoPA donation certification, if requested or available.	Toute attestation de don à PagoPA, sur demande ou si disponible.	Jegliche PagoPA-Spendenbescheinigung, falls angefordert oder verfügbar.	Cualquier certificado de donación de PagoPA, si se solicita o está disponible.	Qualquer certificado de doação PagoPA, se solicitado ou disponível.	Любое подтверждение пожертвования PagoPA, если таковое требуется или имеется.	Çdo certifikim donacioni nga PagoPA, nëse kërkohet ose është i disponueshëm.	Orice certificare de donație PagoPA, dacă este solicitată sau disponibilă.	अनुरोध किए जाने या उपलब्ध होने पर, PagoPA द्वारा किए गए दान का कोई भी प्रमाण पत्र।	ਕੋਈ ਵੀ PagoPA ਦਾਨ ਪ੍ਰਮਾਣੀਕਰਣ, ਜੇਕਰ ਬੇਨਤੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਜਾਂ ਉਪਲਬਧ ਹੁੰਦੀ ਹੈ।	PagoPA-তে অনুদানের যেকোনো শংসাপত্র, যদি অনুরোধ করা হয় বা উপলব্ধ থাকে।	Било која потврда о донацији од стране PagoPA, ако је затражена или доступна.	Bilo koja potvrda o donaciji PagoPA-e, ako je zatražena ili dostupna.	İstenmesi halinde veya mevcut olması durumunda, PagoPA bağış belgesi.	هرگونه گواهی اهدای عضو PagoPA، در صورت درخواست یا در دسترس بودن.	د PagoPA د بسپنې هر ډول تصدیق، که غوښتنه شوې وي یا شتون ولري.	Anumang sertipikasyon ng donasyon ng PagoPA, kung hiniling o makukuha.	Wszelkie certyfikaty darowizn PagoPA, o ile są wymagane lub dostępne.	Будь-яке підтвердження пожертвування PagoPA, якщо воно запитується або є.	如有需要或可提供，可提供 PagoPA 捐赠证明。	أي شهادة تبرع من PagoPA، إذا طُلبت أو كانت متاحة.	کوئی PagoPA عطیہ سرٹیفیکیشن، اگر درخواست کی گئی ہو یا دستیاب ہو۔
privacy_doc_8	Eventuali altri documenti necessari alla pratica di iscrizione.	Elenco documenti privacy.	Any other documents required for the registration process.	Tout autre document requis pour la procédure d'inscription.	Alle weiteren für den Registrierungsprozess erforderlichen Dokumente.	Cualquier otro documento necesario para el proceso de registro.	Quaisquer outros documentos necessários para o processo de inscrição.	Любые другие документы, необходимые для процесса регистрации.	Çdo dokument tjetër i nevojshëm për procesin e regjistrimit.	Orice alte documente necesare pentru procesul de înregistrare.	पंजीकरण प्रक्रिया के लिए आवश्यक कोई अन्य दस्तावेज।	ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ ਲਈ ਲੋੜੀਂਦੇ ਕੋਈ ਹੋਰ ਦਸਤਾਵੇਜ਼।	নিবন্ধন প্রক্রিয়ার জন্য প্রয়োজনীয় অন্য যেকোনো কাগজপত্র।	Сва остала документа потребна за процес регистрације.	Svi ostali dokumenti potrebni za proces registracije.	Kayıt işlemi için gerekli diğer belgeler.	سایر مدارک مورد نیاز برای فرآیند ثبت نام.	د نوم لیکنې پروسې لپاره نور اړین اسناد.	Anumang iba pang mga dokumento na kinakailangan para sa proseso ng pagpaparehistro.	Wszelkie inne dokumenty wymagane w procesie rejestracji.	Будь-які інші документи, необхідні для процесу реєстрації.	注册过程中所需的其他任何文件。	أي مستندات أخرى مطلوبة لعملية التسجيل.	رجسٹریشن کے عمل کے لیے درکار دیگر دستاویزات۔
privacy_use_title	Come vengono usati	Titolo sezione privacy.	How they are used	Comment ils sont utilisés	Wie sie verwendet werden	Cómo se utilizan	Como eles são usados	Как они используются	Si përdoren ato	Cum sunt utilizate	उनका उपयोग कैसे किया जाता है	ਇਹਨਾਂ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕੀਤੀ ਜਾਂਦੀ ਹੈ	কীভাবে সেগুলি ব্যবহার করা হয়	Како се користе	Kako se koriste	Nasıl kullanıldıkları	چگونه از آنها استفاده می‌شود	څنګه کارول کیږي	Paano ginagamit ang mga ito	Jak są używane	Як вони використовуються	它们是如何使用的	كيفية استخدامها	وہ کس طرح استعمال ہوتے ہیں۔
privacy_use_text	I documenti vengono usati dalla segreteria didattica e dal personale scolastico autorizzato per la gestione amministrativa dell'iscrizione, la verifica della completezza della pratica e, dove previsto, per supportare le attività di accoglienza e formazione delle classi.	Testo sezione privacy.	The documents are used by the academic office and authorized school staff to manage the registration process, verify the completeness of the application, and, where applicable, to support the welcoming and training of classes.	Ces documents sont utilisés par le bureau des affaires académiques et le personnel scolaire autorisé pour gérer le processus d'inscription, vérifier l'exhaustivité de la demande et, le cas échéant, pour faciliter l'accueil et la formation des classes.	Die Dokumente werden vom akademischen Büro und autorisierten Schulmitarbeitern verwendet, um den Registrierungsprozess zu verwalten, die Vollständigkeit des Antrags zu überprüfen und gegebenenfalls die Begrüßung und Ausbildung von Klassen zu unterstützen.	La secretaría académica y el personal autorizado del centro utilizan estos documentos para gestionar el proceso de matriculación, verificar que la solicitud esté completa y, en su caso, para facilitar la acogida y la formación de los alumnos.	Os documentos são utilizados pela secretaria acadêmica e pelos funcionários escolares autorizados para gerenciar o processo de matrícula, verificar se a inscrição está completa e, quando aplicável, para apoiar o acolhimento e a formação das turmas.	Эти документы используются учебным отделом и уполномоченными сотрудниками школы для управления процессом регистрации, проверки полноты заявления и, при необходимости, для поддержки приема и обучения студентов.	Dokumentet përdoren nga zyra akademike dhe stafi i autorizuar i shkollës për të menaxhuar procesin e regjistrimit, për të verifikuar plotësinë e aplikimit dhe, kur është e aplikueshme, për të mbështetur pritjen dhe trajnimin e klasave.	Documentele sunt utilizate de către secretariatul academic și personalul autorizat al școlii pentru a gestiona procesul de înscriere, a verifica completitudinea cererii și, acolo unde este cazul, pentru a sprijini primirea și instruirea claselor.	इन दस्तावेजों का उपयोग शैक्षणिक कार्यालय और अधिकृत विद्यालय के कर्मचारियों द्वारा पंजीकरण प्रक्रिया का प्रबंधन करने, आवेदन की पूर्णता को सत्यापित करने और, जहां लागू हो, कक्षाओं के स्वागत और प्रशिक्षण में सहायता करने के लिए किया जाता है।	ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਵਰਤੋਂ ਅਕਾਦਮਿਕ ਦਫ਼ਤਰ ਅਤੇ ਅਧਿਕਾਰਤ ਸਕੂਲ ਸਟਾਫ਼ ਦੁਆਰਾ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ ਦਾ ਪ੍ਰਬੰਧਨ ਕਰਨ, ਅਰਜ਼ੀ ਦੀ ਸੰਪੂਰਨਤਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ, ਅਤੇ ਜਿੱਥੇ ਲਾਗੂ ਹੋਵੇ, ਕਲਾਸਾਂ ਦੇ ਸਵਾਗਤ ਅਤੇ ਸਿਖਲਾਈ ਦਾ ਸਮਰਥਨ ਕਰਨ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।	এই নথিগুলো একাডেমিক অফিস এবং স্কুলের অনুমোদিত কর্মচারীরা নিবন্ধন প্রক্রিয়া পরিচালনা করতে, আবেদনের সম্পূর্ণতা যাচাই করতে এবং প্রযোজ্য ক্ষেত্রে, ক্লাসগুলোর স্বাগত জানানো ও প্রশিক্ষণে সহায়তা করার জন্য ব্যবহার করে থাকেন।	Документа користе академска канцеларија и овлашћено школско особље за управљање процесом регистрације, проверу потпуности пријаве и, где је то потребно, за подршку пријему и обуци ученика.	Dokumente koristi akademski ured i ovlašteno školsko osoblje za upravljanje postupkom registracije, provjeru potpunosti prijave i, gdje je to primjenjivo, za podršku prijemu i održavanju nastave.	Bu belgeler, akademik ofis ve yetkili okul personeli tarafından kayıt sürecini yönetmek, başvurunun eksiksizliğini doğrulamak ve gerektiğinde sınıfların karşılanması ve eğitimine destek olmak amacıyla kullanılmaktadır.	این اسناد توسط دفتر آموزشی و کارکنان مجاز مدرسه برای مدیریت فرآیند ثبت نام، تأیید تکمیل درخواست و در صورت لزوم، برای پشتیبانی از استقبال و آموزش کلاس‌ها استفاده می‌شوند.	دا اسناد د اکاډمیک دفتر او د ښوونځي مجاز کارمندانو لخوا د نوم لیکنې پروسې اداره کولو، د غوښتنلیک بشپړتیا تاییدولو، او چیرې چې د تطبیق وړ وي، د ټولګیو د هرکلي او روزنې ملاتړ لپاره کارول کیږي.	Ang mga dokumento ay ginagamit ng akademikong tanggapan at mga awtorisadong kawani ng paaralan upang pamahalaan ang proseso ng pagpaparehistro, beripikahin ang pagkakumpleto ng aplikasyon, at, kung naaangkop, upang suportahan ang pagtanggap at pagsasanay ng mga klase.	Dokumenty te służą sekretariatowi szkoły i upoważnionemu personelowi do zarządzania procesem rejestracji, weryfikacji kompletności wniosku oraz, w stosownych przypadkach, do wspierania procesu przyjmowania i szkolenia klas.	Ці документи використовуються академічним офісом та уповноваженим персоналом школи для управління процесом реєстрації, перевірки повноти заявки та, де це можливо, для підтримки зустрічі та навчання класів.	这些文件由教务处和授权的学校工作人员用于管理注册流程、核实申请的完整性，并在适用的情况下，用于支持新生入学和培训。	تستخدم هذه الوثائق من قبل المكتب الأكاديمي وموظفي المدرسة المعتمدين لإدارة عملية التسجيل، والتحقق من اكتمال الطلب، وعند الاقتضاء، لدعم استقبال وتدريب الفصول الدراسية.	دستاویزات کا استعمال اکیڈمک آفس اور اسکول کا مجاز عملہ رجسٹریشن کے عمل کو منظم کرنے، درخواست کے مکمل ہونے کی تصدیق کرنے، اور جہاں قابل اطلاق ہو، کلاسوں کے استقبال اور تربیت میں مدد کے لیے استعمال کرتا ہے۔
privacy_access_title	Consultazione e accesso	Titolo sezione privacy.	Consultation and access	Consultation et accès	Beratung und Zugang	Consulta y acceso	Consulta e acesso	Консультации и доступ	Konsultimi dhe qasja	Consultare și acces	परामर्श और पहुंच	ਸਲਾਹ-ਮਸ਼ਵਰਾ ਅਤੇ ਪਹੁੰਚ	পরামর্শ এবং প্রবেশাধিকার	Консултације и приступ	Konzultacije i pristup	Danışma ve erişim	مشاوره و دسترسی	مشوره او لاسرسی	Konsultasyon at pag-access	Konsultacje i dostęp	Консультація та доступ	咨询和访问	الاستشارة والوصول	مشاورت اور رسائی
